convenience_store,fips_state_county_tract_code,gas_station,meal_delivery,meal_takeaway,park,subway_station,supermarket,train_station
9.0,36005033800,9.0,3.0,5.0,10.0,3.0,5.0,0.0
9.0,36005034000,7.0,3.0,5.0,5.0,2.0,4.0,0.0
6.0,36005034200,9.0,3.0,5.0,4.0,1.0,4.0,0.0
4.0,36005034300,7.0,1.0,3.0,5.0,0.0,2.0,0.0
7.0,36005034400,8.0,3.0,5.0,4.0,0.0,2.0,0.0
3.0,36005034500,3.0,1.0,2.0,3.0,0.0,0.0,0.0
4.0,36005034800,6.0,2.0,2.0,3.0,0.0,1.0,0.0
4.0,36005035000,4.0,0.0,0.0,6.0,1.0,1.0,0.0
0.0,36005035100,1.0,0.0,0.0,4.0,1.0,1.0,0.0
5.0,36005035600,6.0,0.0,4.0,6.0,0.0,1.0,0.0
2.0,36005035800,4.0,1.0,2.0,5.0,2.0,2.0,0.0
10.0,36005035900,1.0,3.0,4.0,22.0,2.0,5.0,0.0
7.0,36005036000,5.0,0.0,2.0,5.0,0.0,0.0,0.0
5.0,36005036100,2.0,3.0,2.0,13.0,2.0,4.0,0.0
7.0,36005036300,1.0,3.0,3.0,20.0,1.0,5.0,0.0
3.0,36005036400,3.0,1.0,1.0,7.0,1.0,2.0,0.0
10.0,36005036501,1.0,4.0,4.0,21.0,0.0,6.0,0.0
12.0,36005036502,1.0,3.0,4.0,22.0,1.0,5.0,0.0
10.0,36005036700,3.0,3.0,4.0,19.0,1.0,4.0,0.0
3.0,36005036800,6.0,3.0,3.0,2.0,1.0,3.0,0.0
9.0,36005036901,6.0,4.0,4.0,24.0,0.0,6.0,1.0
11.0,36005036902,6.0,0.0,2.0,21.0,1.0,2.0,1.0
4.0,36005037000,7.0,4.0,4.0,3.0,2.0,2.0,0.0
12.0,36005037100,5.0,6.0,5.0,27.0,0.0,6.0,0.0
5.0,36005037200,9.0,3.0,6.0,6.0,2.0,5.0,0.0
9.0,36005037300,4.0,4.0,5.0,28.0,0.0,4.0,1.0
4.0,36005037400,8.0,4.0,3.0,7.0,2.0,6.0,1.0
13.0,36005037504,8.0,4.0,5.0,28.0,0.0,6.0,1.0
4.0,36005037600,10.0,2.0,4.0,8.0,3.0,8.0,1.0
4.0,36005037800,3.0,3.0,3.0,6.0,3.0,5.0,1.0
10.0,36005037900,7.0,1.0,7.0,27.0,3.0,15.0,1.0
6.0,36005038000,3.0,3.0,4.0,6.0,2.0,3.0,0.0
12.0,36005038100,12.0,2.0,7.0,26.0,4.0,20.0,0.0
3.0,36005038200,3.0,2.0,2.0,5.0,1.0,3.0,0.0
13.0,36005038301,8.0,6.0,5.0,26.0,3.0,14.0,0.0
13.0,36005038302,8.0,4.0,4.0,25.0,3.0,7.0,1.0
10.0,36005038500,8.0,4.0,8.0,25.0,1.0,10.0,1.0
4.0,36005038600,3.0,1.0,2.0,4.0,0.0,4.0,0.0
10.0,36005038700,6.0,4.0,6.0,24.0,0.0,8.0,1.0
5.0,36005038800,2.0,2.0,4.0,4.0,1.0,3.0,0.0
6.0,36005038900,7.0,3.0,3.0,19.0,0.0,5.0,1.0
7.0,36005039000,0.0,3.0,3.0,6.0,3.0,3.0,0.0
9.0,36005039100,9.0,4.0,2.0,22.0,0.0,4.0,0.0
7.0,36005039200,2.0,1.0,2.0,8.0,3.0,2.0,0.0
6.0,36005039300,2.0,2.0,3.0,19.0,0.0,6.0,0.0
8.0,36005039400,0.0,1.0,2.0,5.0,2.0,1.0,0.0
10.0,36005039500,10.0,1.0,5.0,20.0,1.0,11.0,1.0
6.0,36005039600,0.0,1.0,3.0,3.0,2.0,2.0,0.0
5.0,36005039700,6.0,3.0,5.0,28.0,2.0,7.0,2.0
7.0,36005039800,0.0,1.0,2.0,3.0,2.0,1.0,0.0
8.0,36005039901,2.0,4.0,7.0,21.0,4.0,10.0,1.0
11.0,36005039902,6.0,3.0,6.0,21.0,4.0,8.0,1.0
16.0,36005040100,1.0,6.0,9.0,16.0,5.0,14.0,1.0
7.0,36005040302,4.0,6.0,6.0,17.0,4.0,10.0,1.0
6.0,36005040303,4.0,6.0,4.0,13.0,4.0,11.0,0.0
9.0,36005040304,4.0,6.0,8.0,16.0,3.0,13.0,1.0
8.0,36005040400,1.0,3.0,1.0,4.0,2.0,1.0,0.0
5.0,36005040501,4.0,6.0,6.0,19.0,4.0,9.0,2.0
4.0,36005040502,2.0,6.0,5.0,24.0,3.0,7.0,2.0
10.0,36005040600,1.0,3.0,2.0,3.0,3.0,3.0,0.0
3.0,36005040701,4.0,5.0,2.0,12.0,4.0,8.0,0.0
,36005000100,,,,,,0.0,
,36005000200,,,,,,3.0,
,36005000400,,,,,,0.0,
,36005001600,,,,,,6.0,
,36005001900,,,,,,4.0,
,36005002000,,,,,,7.0,
,36005002300,,,,,,6.0,
,36005002400,,,,,,9.0,
,36005002500,,,,,,6.0,
,36005002701,,,,,,5.0,
,36005002702,,,,,,6.0,
,36005002800,,,,,,5.0,
,36005003100,,,,,,5.0,
,36005003300,,,,,,6.0,
,36005003500,,,,,,8.0,
,36005003700,,,,,,9.0,
,36005003800,,,,,,7.0,
,36005003900,,,,,,8.0,
,36005004001,,,,,,5.0,
